1;A-05-01-01-000-001-01;CEREALES;0000-00-00 00:00:00;0000-00-00 00:00:00;1
2;A-05-01-01-000-001-02;HORTALIZAS;0000-00-00 00:00:00;0000-00-00 00:00:00;1
3;A-05-01-01-000-001-03;FRUTAS Y NUECES;0000-00-00 00:00:00;0000-00-00 00:00:00;1
4;A-05-01-01-000-001-04;SEMILLAS Y FRUTOS OLEAGINOSOS;0000-00-00 00:00:00;0000-00-00 00:00:00;1
5;A-05-01-01-000-001-05;RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA;0000-00-00 00:00:00;0000-00-00 00:00:00;1
6;A-05-01-01-000-001-06;PLANTAS AROMATICAS, BEBESTIBLES Y ESPECIAS;0000-00-00 00:00:00;0000-00-00 00:00:00;1
7;A-05-01-01-000-001-07;LEGUMBRES, SECAS;0000-00-00 00:00:00;0000-00-00 00:00:00;1
8;A-05-01-01-000-001-08;PLANTAS UTILIZADAS EN LA FABRICACION DE AZUCAR;0000-00-00 00:00:00;0000-00-00 00:00:00;1
9;A-05-01-01-000-001-09;PRODUCTOS DE FORRAJE, FIBRAS, PLANTAS VIVAS, FLORES Y CAPULLOS DE FLORES, TABACO EN RAMA Y CAUCHO NATURAL;0000-00-00 00:00:00;0000-00-00 00:00:00;1
10;A-05-01-01-000-002-01;ANIMALES VIVOS;0000-00-00 00:00:00;0000-00-00 00:00:00;2
11;A-05-01-01-000-002-01-1;BOVINOS VIVOS;0000-00-00 00:00:00;0000-00-00 00:00:00;2
12;A-05-01-01-000-002-01-2;OTROS RUMIANTES;0000-00-00 00:00:00;0000-00-00 00:00:00;2
13;A-05-01-01-000-002-01-3;CABALLOS Y OTROS EQUIDOS;0000-00-00 00:00:00;0000-00-00 00:00:00;2
14;A-05-01-01-000-002-01-4;GANADO PORCINO;0000-00-00 00:00:00;0000-00-00 00:00:00;2
15;A-05-01-01-000-002-01-5;AVES DE CORRAL;0000-00-00 00:00:00;0000-00-00 00:00:00;2
16;A-05-01-01-000-002-01-9;OTROS ANIMALES VIVOS;0000-00-00 00:00:00;0000-00-00 00:00:00;2
17;A-05-01-01-000-002-02;LECHE CRUDA;0000-00-00 00:00:00;0000-00-00 00:00:00;2
18;A-05-01-01-000-002-03;HUEVOS DE GALLINA O DE OTRAS AVES, CON CASCARA, FRESCOS;0000-00-00 00:00:00;0000-00-00 00:00:00;2
19;A-05-01-01-000-002-04;MATERIALES REPRODUCTIVOS DE ANIMALES;0000-00-00 00:00:00;0000-00-00 00:00:00;2
20;A-05-01-01-000-002-09;OTROS PRODUCTOS ANIMALES;0000-00-00 00:00:00;0000-00-00 00:00:00;2
21;A-05-01-01-000-003-01;MADERA EN BRUTO;0000-00-00 00:00:00;0000-00-00 00:00:00;3
22;A-05-01-01-000-003-02;PRODUCTOS FORESTALES DIFERENTES A LA MADERA;0000-00-00 00:00:00;0000-00-00 00:00:00;3
23;A-05-01-01-000-004;PESCADO Y OTROS PRODUCTOS DE LA PESCA;0000-00-00 00:00:00;0000-00-00 00:00:00;4
24;A-05-01-01-001-001;CARBON DE HULLA, LIGNITO Y TURBA;0000-00-00 00:00:00;0000-00-00 00:00:00;5
25;A-05-01-01-001-002;PETROLEO CRUDO Y GAS NATURAL;0000-00-00 00:00:00;0000-00-00 00:00:00;6
26;A-05-01-01-001-003;MINERALES Y CONCENTRADOS DE URANIO Y TORIO;0000-00-00 00:00:00;0000-00-00 00:00:00;7
27;A-05-01-01-001-004;MINERALES METALICOS;0000-00-00 00:00:00;0000-00-00 00:00:00;8
28;A-05-01-01-001-005;PIEDRA, ARENA Y ARCILLA;0000-00-00 00:00:00;0000-00-00 00:00:00;9
